"sales_month","kind_of_business","sales","yearly_sales","pctg_yearly"
"2004-07-01","Women's clothing stores",2595,34954,7.4240430279796304
"2004-08-01","Women's clothing stores",2644,34954,7.5642272701264519
"2004-08-01","Men's clothing stores",720,8566,8.4053233714685968
"2004-09-01","Men's clothing stores",634,8566,7.4013541909876255
"2004-09-01","Women's clothing stores",2774,34954,7.9361446472506723
"2004-10-01","Men's clothing stores",727,8566,8.4870417931356526
"2004-10-01","Women's clothing stores",2990,34954,8.5540996738570693
"2004-11-01","Women's clothing stores",3090,34954,8.8401899639526234
"2004-11-01","Men's clothing stores",809,8566,9.4443147326640205
"2004-12-01","Women's clothing stores",4472,34954,12.7939577730731819
"2004-12-01","Men's clothing stores",1261,8566,14.7209899603081952
"2005-01-01","Men's clothing stores",575,8737,6.5812063637404143
"2005-01-01","Women's clothing stores",2338,37075,6.3061362103843560
"2005-02-01","Women's clothing stores",2453,37075,6.6163182737693864
"2005-02-01","Men's clothing stores",576,8737,6.5926519400251803
"2005-03-01","Men's clothing stores",699,8737,8.0004578230513906
"2005-03-01","Women's clothing stores",3105,37075,8.3749157113958193
"2005-04-01","Women's clothing stores",3177,37075,8.5691166554281861
"2005-04-01","Men's clothing stores",672,8737,7.6914272633627103
"2005-05-01","Men's clothing stores",698,8737,7.9890122467666247
"2005-05-01","Women's clothing stores",3164,37075,8.5340525960890088
"2005-06-01","Women's clothing stores",3045,37075,8.2130815913688469
"2005-06-01","Men's clothing stores",719,8737,8.2293693487467094
"2005-07-01","Women's clothing stores",2741,37075,7.3931220498988537
"2005-07-01","Men's clothing stores",646,8737,7.3938422799587959
"2005-08-01","Women's clothing stores",2871,37075,7.7437626432906271
"2005-08-01","Men's clothing stores",740,8737,8.4697264507267941
"2005-09-01","Men's clothing stores",634,8737,7.2564953645416047
"2005-09-01","Women's clothing stores",2963,37075,7.9919082939986514
"2005-10-01","Men's clothing stores",717,8737,8.2064781961771775
"2005-10-01","Women's clothing stores",3120,37075,8.4153742414025624
"2005-11-01","Women's clothing stores",3342,37075,9.0141604855023601
"2005-11-01","Men's clothing stores",809,8737,9.2594712143756438
"2005-12-01","Women's clothing stores",4756,37075,12.8280512474713419
"2005-12-01","Men's clothing stores",1252,8737,14.3298615085269543
"2006-01-01","Women's clothing stores",2518,38809,6.4881857301141488
"2006-01-01","Men's clothing stores",570,8844,6.4450474898236092
"2006-02-01","Men's clothing stores",557,8844,6.2980551786521936
"2006-02-01","Women's clothing stores",2518,38809,6.4881857301141488
"2006-03-01","Women's clothing stores",3194,38809,8.2300497307325620
"2006-03-01","Men's clothing stores",660,8844,7.4626865671641791
"2006-04-01","Women's clothing stores",3379,38809,8.7067432811976603
"2006-04-01","Men's clothing stores",693,8844,7.8358208955223881
"2006-05-01","Women's clothing stores",3340,38809,8.6062511273158288
"2006-05-01","Men's clothing stores",693,8844,7.8358208955223881
"2006-06-01","Women's clothing stores",3183,38809,8.2017057898940967
"2006-06-01","Men's clothing stores",704,8844,7.9601990049751244
"2006-07-01","Men's clothing stores",623,8844,7.0443238353686115
"2006-07-01","Women's clothing stores",2923,38809,7.5317580973485532
"2006-08-01","Men's clothing stores",716,8844,8.0958842152872004
"2006-08-01","Women's clothing stores",2960,38809,7.6270968074415728
"2006-09-01","Women's clothing stores",3164,38809,8.1527480739003839
