"sales_month","moving_avg","records_count"
"2004-02-01",2757.3333333333333333,12
"2004-03-01",2782.0000000000000000,12
"2004-04-01",2806.9166666666666667,12
"2004-05-01",2822.9166666666666667,12
"2004-06-01",2843.0000000000000000,12
"2004-07-01",2855.0833333333333333,12
"2004-08-01",2859.0000000000000000,12
"2004-09-01",2871.2500000000000000,12
"2004-10-01",2887.6666666666666667,12
"2004-11-01",2899.2500000000000000,12
"2004-12-01",2912.8333333333333333,12
"2005-01-01",2918.7500000000000000,12
"2005-02-01",2923.0000000000000000,12
"2005-03-01",2938.8333333333333333,12
"2005-04-01",2951.6666666666666667,12
"2005-05-01",2964.9166666666666667,12
"2005-06-01",2987.2500000000000000,12
"2005-07-01",2999.4166666666666667,12
"2005-08-01",3018.3333333333333333,12
"2005-09-01",3034.0833333333333333,12
"2005-10-01",3044.9166666666666667,12
"2005-11-01",3065.9166666666666667,12
"2005-12-01",3089.5833333333333333,12
"2006-01-01",3104.5833333333333333,12
"2006-02-01",3110.0000000000000000,12
"2006-03-01",3117.4166666666666667,12
"2006-04-01",3134.2500000000000000,12
"2006-05-01",3148.9166666666666667,12
"2006-06-01",3160.4166666666666667,12
"2006-07-01",3175.5833333333333333,12
"2006-08-01",3183.0000000000000000,12
"2006-09-01",3199.7500000000000000,12
"2006-10-01",3206.1666666666666667,12
"2006-11-01",3212.1666666666666667,12
"2006-12-01",3234.0833333333333333,12
"2007-01-01",3244.1666666666666667,12
"2007-02-01",3258.8333333333333333,12
"2007-03-01",3284.2500000000000000,12
"2007-04-01",3296.9166666666666667,12
"2007-05-01",3331.9166666666666667,12
"2007-06-01",3351.0000000000000000,12
"2007-07-01",3338.2500000000000000,12
"2007-08-01",3358.6666666666666667,12
"2007-09-01",3359.7500000000000000,12
"2007-10-01",3368.8333333333333333,12
"2007-11-01",3384.1666666666666667,12
"2007-12-01",3357.8333333333333333,12
"2008-01-01",3347.8333333333333333,12
"2008-02-01",3353.5833333333333333,12
"2008-03-01",3344.6666666666666667,12
"2008-04-01",3337.0000000000000000,12
"2008-05-01",3323.9166666666666667,12
"2008-06-01",3302.0000000000000000,12
"2008-07-01",3318.8333333333333333,12
"2008-08-01",3313.7500000000000000,12
"2008-09-01",3304.3333333333333333,12
"2008-10-01",3284.7500000000000000,12
"2008-11-01",3255.0833333333333333,12
"2008-12-01",3200.1666666666666667,12
"2009-01-01",3180.6666666666666667,12
"2009-02-01",3152.4166666666666667,12
"2009-03-01",3115.8333333333333333,12
"2009-04-01",3101.2500000000000000,12
"2009-05-01",3074.3333333333333333,12
"2009-06-01",3053.0833333333333333,12
"2009-07-01",3031.7500000000000000,12
"2009-08-01",3014.9166666666666667,12
"2009-09-01",3004.5000000000000000,12
"2009-10-01",3006.5000000000000000,12
"2009-11-01",3002.0833333333333333,12
"2009-12-01",3004.5833333333333333,12
"2010-01-01",3006.1666666666666667,12
"2010-02-01",3010.8333333333333333,12
"2010-03-01",3039.1666666666666667,12
"2010-04-01",3045.0000000000000000,12
"2010-05-01",3047.3333333333333333,12
"2010-06-01",3055.7500000000000000,12
"2010-07-01",3066.6666666666666667,12
"2010-08-01",3068.1666666666666667,12
"2010-09-01",3078.3333333333333333,12
"2010-10-01",3088.2500000000000000,12
"2010-11-01",3110.3333333333333333,12
"2010-12-01",3140.8333333333333333,12
"2011-01-01",3144.2500000000000000,12
"2011-02-01",3167.0000000000000000,12
"2011-03-01",3180.0000000000000000,12
"2011-04-01",3200.6666666666666667,12
"2011-05-01",3217.3333333333333333,12
"2011-06-01",3241.5000000000000000,12
"2011-07-01",3259.2500000000000000,12
"2011-08-01",3264.8333333333333333,12
"2011-09-01",3284.8333333333333333,12
"2011-10-01",3291.7500000000000000,12
"2011-11-01",3306.0000000000000000,12
"2011-12-01",3337.3333333333333333,12
"2012-01-01",3353.9166666666666667,12
"2012-02-01",3377.5000000000000000,12
"2012-03-01",3410.0833333333333333,12
"2012-04-01",3410.9166666666666667,12
"2012-05-01",3426.3333333333333333,12
"2012-06-01",3433.7500000000000000,12
"2012-07-01",3436.5833333333333333,12
"2012-08-01",3458.0000000000000000,12
"2012-09-01",3461.1666666666666667,12
"2012-10-01",3476.5833333333333333,12
"2012-11-01",3493.0833333333333333,12
"2012-12-01",3482.8333333333333333,12
"2013-01-01",3492.8333333333333333,12
"2013-02-01",3473.6666666666666667,12
"2013-03-01",3464.7500000000000000,12
"2013-04-01",3458.0000000000000000,12
"2013-05-01",3462.2500000000000000,12
"2013-06-01",3453.8333333333333333,12
"2013-07-01",3461.3333333333333333,12
"2013-08-01",3478.0000000000000000,12
"2013-09-01",3474.1666666666666667,12
"2013-10-01",3476.9166666666666667,12
"2013-11-01",3477.5000000000000000,12
"2013-12-01",3482.2500000000000000,12
"2014-01-01",3466.0000000000000000,12
"2014-02-01",3467.4166666666666667,12
"2014-03-01",3452.0000000000000000,12
"2014-04-01",3459.6666666666666667,12
"2014-05-01",3462.1666666666666667,12
"2014-06-01",3454.6666666666666667,12
"2014-07-01",3454.1666666666666667,12
"2014-08-01",3451.7500000000000000,12
"2014-09-01",3447.9166666666666667,12
"2014-10-01",3445.3333333333333333,12
"2014-11-01",3447.7500000000000000,12
"2014-12-01",3464.5833333333333333,12
"2015-01-01",3468.1666666666666667,12
"2015-02-01",3463.0833333333333333,12
"2015-03-01",3462.8333333333333333,12
"2015-04-01",3450.7500000000000000,12
"2015-05-01",3448.4166666666666667,12
"2015-06-01",3452.4166666666666667,12
"2015-07-01",3452.6666666666666667,12
"2015-08-01",3446.6666666666666667,12
"2015-09-01",3439.7500000000000000,12
"2015-10-01",3437.2500000000000000,12
"2015-11-01",3425.5833333333333333,12
"2015-12-01",3422.0833333333333333,12
"2016-01-01",3419.1666666666666667,12
"2016-02-01",3433.9166666666666667,12
"2016-03-01",3443.4166666666666667,12
"2016-04-01",3448.5000000000000000,12
