"sales_month","kind_of_business","sales"
"2002-05-01","Women's clothing stores",2755
"2002-06-01","Men's clothing stores",650
"2002-06-01","Women's clothing stores",2478
"2002-07-01","Men's clothing stores",592
"2002-07-01","Women's clothing stores",2260
"2002-08-01","Men's clothing stores",695
"2002-08-01","Women's clothing stores",2538
"2002-09-01","Men's clothing stores",604
"2002-09-01","Women's clothing stores",2373
"2002-10-01","Men's clothing stores",669
"2002-10-01","Women's clothing stores",2531
"2002-11-01","Men's clothing stores",761
"2002-11-01","Women's clothing stores",2740
"2002-12-01","Men's clothing stores",1113
"2002-12-01","Women's clothing stores",3966
"2003-01-01","Men's clothing stores",539
"2003-01-01","Women's clothing stores",2055
"2003-02-01","Men's clothing stores",498
"2003-02-01","Women's clothing stores",2091
"2003-03-01","Men's clothing stores",601
"2003-03-01","Women's clothing stores",2619
"2003-04-01","Men's clothing stores",631
"2003-04-01","Women's clothing stores",2724
"2003-05-01","Men's clothing stores",679
"2003-05-01","Women's clothing stores",2813
"2003-06-01","Men's clothing stores",657
"2003-06-01","Women's clothing stores",2536
"2003-07-01","Men's clothing stores",602
"2003-07-01","Women's clothing stores",2450
"2003-08-01","Men's clothing stores",741
"2003-08-01","Women's clothing stores",2597
"2003-09-01","Men's clothing stores",625
"2003-09-01","Women's clothing stores",2627
"2003-10-01","Men's clothing stores",704
"2003-10-01","Women's clothing stores",2793
"2003-11-01","Men's clothing stores",781
"2003-11-01","Women's clothing stores",2951
"2003-12-01","Men's clothing stores",1191
"2003-12-01","Women's clothing stores",4309
"2004-01-01","Men's clothing stores",574
"2004-01-01","Women's clothing stores",2267
"2004-02-01","Men's clothing stores",559
"2004-02-01","Women's clothing stores",2402
"2004-03-01","Men's clothing stores",637
"2004-03-01","Women's clothing stores",2915
"2004-04-01","Men's clothing stores",674
"2004-04-01","Women's clothing stores",3023
"2004-05-01","Men's clothing stores",675
"2004-05-01","Women's clothing stores",3005
"2004-06-01","Men's clothing stores",657
"2004-06-01","Women's clothing stores",2777
"2004-07-01","Men's clothing stores",639
"2004-07-01","Women's clothing stores",2595
"2004-08-01","Men's clothing stores",720
"2004-08-01","Women's clothing stores",2644
"2004-09-01","Men's clothing stores",634
"2004-09-01","Women's clothing stores",2774
"2005-09-01","Men's clothing stores",634
"2004-10-01","Men's clothing stores",727
"2004-10-01","Women's clothing stores",2990
"2004-11-01","Men's clothing stores",809
"2004-11-01","Women's clothing stores",3090
"2004-12-01","Men's clothing stores",1261
"2004-12-01","Women's clothing stores",4472
"2005-01-01","Men's clothing stores",575
"2005-01-01","Women's clothing stores",2338
"2005-02-01","Men's clothing stores",576
