"sales_month","kind_of_business","pctg_total_sales"
"2019-09-01","Women's clothing stores",100.0000000000000000
"2018-03-01","Women's clothing stores",100.0000000000000000
"1997-06-01","Men's clothing stores",36.0618462937698954
"1994-01-01","Men's clothing stores",38.5218365061590146
"2015-12-01","Men's clothing stores",21.4663951120162933
"1996-08-01","Men's clothing stores",32.3416914577135572
"2020-02-01","Men's clothing stores",18.8416160171612442
"1998-06-01","Men's clothing stores",36.2466725820763088
"1992-09-01","Men's clothing stores",29.7656250000000000
"2014-03-01","Women's clothing stores",100.0000000000000000
"1997-10-01","Men's clothing stores",36.8956743002544529
"1997-12-01","Women's clothing stores",100.0000000000000000
"2016-01-01","Men's clothing stores",22.5272507064997981
"2002-05-01","Men's clothing stores",24.1379310344827586
"2006-11-01","Women's clothing stores",100.0000000000000000
"2015-10-01","Men's clothing stores",21.5402431962941517
"2008-08-01","Women's clothing stores",100.0000000000000000
"2005-04-01","Women's clothing stores",100.0000000000000000
"2018-05-01","Women's clothing stores",100.0000000000000000
"1998-05-01","Women's clothing stores",100.0000000000000000
"1998-01-01","Women's clothing stores",100.0000000000000000
"2019-09-01","Men's clothing stores",21.4935064935064935
"1998-02-01","Women's clothing stores",100.0000000000000000
"1999-07-01","Men's clothing stores",31.3938341293964394
"2001-06-01","Women's clothing stores",100.0000000000000000
"1994-11-01","Men's clothing stores",33.4167262330235883
"1995-12-01","Men's clothing stores",39.6967235310046033
"2006-07-01","Men's clothing stores",21.3137187820732125
"2007-07-01","Men's clothing stores",22.7075812274368231
"2003-12-01","Women's clothing stores",100.0000000000000000
"1996-07-01","Men's clothing stores",31.8532818532818533
"2018-11-01","Men's clothing stores",17.8494106326677893
"2014-08-01","Women's clothing stores",100.0000000000000000
"2014-09-01","Men's clothing stores",21.3735756082537727
"2009-11-01","Men's clothing stores",19.4418312950768266
"1995-09-01","Men's clothing stores",30.4641350210970464
"2013-03-01","Men's clothing stores",18.2694883471738548
