"sales_month","sales","moving_avg","records_count"
"2014-07-01",3178,3454.1666666666666667,12
"1994-10-01",2572,2561.8333333333333333,12
"2019-04-01",3604,3455.5833333333333333,12
"2018-03-01",3545,3384.5833333333333333,12
"1993-12-01",4170,2695.8333333333333333,12
"1993-10-01",2713,2718.2500000000000000,12
"2000-06-01",2564,2510.7500000000000000,12
"1996-10-01",2413,2353.2500000000000000,12
"1998-10-01",2422,2351.0833333333333333,12
"1999-09-01",2353,2457.4166666666666667,12
"1995-04-01",2438,2506.2500000000000000,12
"2013-02-01",2806,3473.6666666666666667,12
"2006-05-01",3340,3148.9166666666666667,12
"2001-12-01",3860,2621.0833333333333333,12
"1995-06-01",2357,2497.3333333333333333,12
"1997-03-01",2353,2375.9166666666666667,12
"1994-08-01",2538,2590.5833333333333333,12
"2019-09-01",3080,3445.8333333333333333,12
"1999-12-01",3639,2462.4166666666666667,12
"2015-01-01",2512,3468.1666666666666667,12
"2011-10-01",3297,3291.7500000000000000,12
"2010-05-01",3308,3047.3333333333333333,12
"2001-10-01",2615,2625.2500000000000000,12
"2014-03-01",3548,3452.0000000000000000,12
"2006-07-01",2923,3175.5833333333333333,12
"1994-05-01",2552,2630.9166666666666667,12
"2020-09-01",2494,2458.5833333333333333,12
"1998-02-01",1767,2316.5833333333333333,12
"2008-04-01",3439,3337.0000000000000000,12
"2005-11-01",3342,3065.9166666666666667,12
"1993-08-01",2626,2716.5833333333333333,12
"2001-05-01",2747,2658.9166666666666667,12
"2004-09-01",2774,2871.2500000000000000,12
"1996-11-01",2594,2355.5000000000000000,12
"1999-06-01",2405,2434.9166666666666667,12
"1998-03-01",2194,2303.3333333333333333,12
"2010-07-01",2847,3066.6666666666666667,12
"2015-02-01",2762,3463.0833333333333333,12
"1998-08-01",2327,2347.5000000000000000,12
"1996-09-01",2276,2344.8333333333333333,12
"2000-11-01",2823,2601.0833333333333333,12
"2014-04-01",3603,3459.6666666666666667,12
"1995-02-01",1810,2530.1666666666666667,12
"2004-06-01",2777,2843.0000000000000000,12
"2009-08-01",2942,3014.9166666666666667,12
"2006-06-01",3183,3160.4166666666666667,12
"2008-10-01",3071,3284.7500000000000000,12
"2019-02-01",2680,3437.6666666666666667,12
"1998-05-01",2512,2333.5833333333333333,12
"2002-07-01",2260,2617.8333333333333333,12
"2015-04-01",3458,3450.7500000000000000,12
"2006-04-01",3379,3134.2500000000000000,12
"2004-07-01",2595,2855.0833333333333333,12
"1994-09-01",2418,2573.5833333333333333,12
"2000-04-01",2706,2487.2500000000000000,12
"2016-02-01",2939,3433.9166666666666667,12
"2013-08-01",3484,3478.0000000000000000,12
"2005-12-01",4756,3089.5833333333333333,12
"2011-09-01",3301,3284.8333333333333333,12
"2004-04-01",3023,2806.9166666666666667,12
"2004-11-01",3090,2899.2500000000000000,12
"2005-01-01",2338,2918.7500000000000000,12
"2020-03-01",1564,3248.1666666666666667,12
"2018-09-01",3178,3392.5833333333333333,12
"1999-10-01",2440,2458.9166666666666667,12
"2007-01-01",2639,3244.1666666666666667,12
"2006-09-01",3164,3199.7500000000000000,12
"2005-03-01",3105,2938.8333333333333333,12
"1996-06-01",2375,2358.7500000000000000,12
"1993-07-01",2539,2719.1666666666666667,12
"2005-09-01",2963,3034.0833333333333333,12
"2007-10-01",3306,3368.8333333333333333,12
"1993-11-01",2923,2716.3333333333333333,12
"2005-04-01",3177,2951.6666666666666667,12
"2001-01-01",1946,2642.5833333333333333,12
"2011-06-01",3285,3241.5000000000000000,12
