"sales_month","kind_of_business","pctg_yearly"
"2006-08-01","Men's clothing stores",8.0958842152872004
"2006-08-01","Women's clothing stores",7.6270968074415728
"2006-09-01","Men's clothing stores",8.1184984170058797
"2006-09-01","Women's clothing stores",8.1527480739003839
"2006-10-01","Men's clothing stores",8.8308457711442786
"2006-10-01","Women's clothing stores",8.2377798964157798
"2006-11-01","Men's clothing stores",9.3057440072365445
"2006-11-01","Women's clothing stores",8.7969285475018681
"2006-12-01","Men's clothing stores",14.7670737222976029
"2006-12-01","Women's clothing stores",12.9325671880233966
"2007-01-01","Men's clothing stores",7.1249430004559964
"2007-01-01","Women's clothing stores",6.5493621879187968
"2007-02-01","Men's clothing stores",6.8399452804377565
"2007-02-01","Women's clothing stores",6.6858589368144141
"2007-03-01","Men's clothing stores",7.7405380756953944
"2007-03-01","Women's clothing stores",8.6836749888320842
"2007-04-01","Men's clothing stores",8.3333333333333333
"2007-04-01","Women's clothing stores",8.7630912790986251
"2007-05-01","Men's clothing stores",8.4359325125398997
"2007-05-01","Women's clothing stores",9.3314141063185586
"2007-06-01","Men's clothing stores",8.1851345189238486
"2007-06-01","Women's clothing stores",8.4677619496699260
"2007-07-01","Men's clothing stores",7.1705426356589147
"2007-07-01","Women's clothing stores",6.8744726261974488
"2007-08-01","Men's clothing stores",7.2503419972640219
"2007-08-01","Women's clothing stores",7.9540378220082394
"2007-09-01","Men's clothing stores",7.4783401732786138
"2007-09-01","Women's clothing stores",7.8845485680250161
"2007-10-01","Men's clothing stores",8.1737346101231190
"2007-10-01","Women's clothing stores",8.2046954881620092
"2007-11-01","Men's clothing stores",9.1655266757865937
"2007-11-01","Women's clothing stores",8.9293691368441952
"2007-12-01","Men's clothing stores",14.1016871865025080
"2007-12-01","Women's clothing stores",11.6717129101106865
"2008-01-01","Men's clothing stores",7.2925398155909472
"2008-01-01","Women's clothing stores",6.5595541898859434
"2008-02-01","Men's clothing stores",7.0171236977607472
"2008-02-01","Women's clothing stores",7.1949377636581428
"2008-03-01","Men's clothing stores",8.1547120105376602
"2008-03-01","Women's clothing stores",8.8328732878495912
"2008-04-01","Men's clothing stores",8.5019758112800862
"2008-04-01","Women's clothing stores",8.9552627467319410
"2008-05-01","Men's clothing stores",9.0647826607591905
"2008-05-01","Women's clothing stores",9.3823238373001406
"2008-06-01","Men's clothing stores",8.5618488803736080
"2008-06-01","Women's clothing stores",8.2000937451174418
"2008-07-01","Men's clothing stores",7.4482097952341037
"2008-07-01","Women's clothing stores",7.7391802510285923
"2008-08-01","Men's clothing stores",7.8433720512513471
"2008-08-01","Women's clothing stores",8.1870735899171918
"2008-09-01","Men's clothing stores",7.6038797748772602
"2008-09-01","Women's clothing stores",7.9787511067131920
"2008-10-01","Men's clothing stores",7.9511435756196863
"2008-10-01","Women's clothing stores",7.9969793239935420
"2008-11-01","Men's clothing stores",8.4780265836426775
"2008-11-01","Women's clothing stores",8.4422686318420916
"2008-12-01","Men's clothing stores",12.0823853430726859
"2008-12-01","Women's clothing stores",10.5307015259621895
"2009-01-01","Men's clothing stores",7.1263429892560860
"2009-01-01","Women's clothing stores",6.3375398696436001
